Card Name,Cost,Power,Ability,Variants,Series
"Zombie Mister Fantastic","","","","1",""
"Hellcow","","","","1",""
"Mister Fantastic First Steps","","","","1",""
"Madame Web","","","","1",""
"Hope Summers","","","","1",""
"Red Skull","","","","1",""
"Nakia","","","","1",""
"Bullseye","","","","1",""
"Aero","","","","1",""
"Darkhawk","","","","1",""
"Zero","","","","1",""
"Crystal","","","","1",""
"Falcon","","","","1",""
"Typhoid Mary","","","","1",""
"M'Baku","","","","1",""
"Sauron","","","","1",""
"Elsa Bloodstone","","","","1",""
"Black Widow","","","","1",""
"Crossbones","","","","1",""
"Sersi","","","","1",""
"Colonel America","","","","1",""
"Kingpin","","","","1",""
"Echo","","","","1",""
"Snowguard","","","","1",""
"Silver Surfer First Steps","","","","1",""
"Rhino","","","","1",""
"Maria Hill","","","","1",""
"Silver Samurai","","","","1",""
"Black Swan","","","","1",""
"Spider-Man 2099","","","","1",""
"Human Torch First Steps","","","","1",""
"Laufey","","","","1",""
"Shanna","","","","1",""
"Agatha Harkness","","","","1",""
"Captain Marvel","","","","1",""
"Gwenpool","","","","1",""
"Angel","","","","1",""
"Namora","","","","1",""
"Mysterio","","","","1",""
"Yondu","","","","1",""
"Strange Supreme","","","","1",""
"Iron Fist","","","","1",""
"King Eitri","","","","1",""
"Sword Master","","","","1",""
"Doctor Strange","","","","1",""
"Attuma","","","","1",""
"Human Torch","","","","1",""
"Professor X","","","","1",""
"Uatu the Watcher","","","","1",""
"Vulture","","","","1",""
"Fastball Special","","","","1",""
"Viper","","","","1",""
"Dagger","","","","1",""
"Firehair","","","","1",""
"Phoenix Force","","","","1",""
"Agamotto","","","","1",""
"Martyr","","","","1",""
"Wade Wilson","","","","1",""
"Zombie Sentry","","","","1",""
"Leader","","","","1",""
"Stature","","","","1",""
"Hercules","","","","1",""
"Helicarrier","","","","1",""
"Fenris Wolf","","","","1",""
"Selene","","","","1",""
"Infinity Ultron","","","","1",""
"Starbrand","","","","1",""
"Black Bolt","","","","1",""
"H.E.R.B.I.E.","","","","1",""
"Sasquatch","","","","1",""
"Aurora","","","","1",""
"Baron Mordo","","","","1",""
"Beta Ray Bill","","","","1",""
"Doctor Octopus","","","","1",""
"Drax","","","","1",""
"Fan Fei","","","","1",""
"Gamora","","","","1",""
"Ghost","","","","1",""
"Gorgon","","","","1",""
"Groot","","","","1",""
"Invisible Woman","","","","1",""
"Jean Grey","","","","1",""
"Leech","","","","1",""
"Mantis","","","","1",""
"Master Mold","","","","1",""
"Maximus","","","","1",""
"Mojo","","","","1",""
"Morph","","","","1",""
"Multiple Man","","","","1",""
"Omega Red","","","","1",""
"Orka","","","","1",""
"Rescue","","","","1",""
"Ronan the Accuser","","","","1",""
"Sandman","","","","1",""
"Spider-Woman","","","","1",""
"Strong Guy","","","","1",""
"Thor","","","","1",""
"Titania","","","","1",""
"U.S. Agent","","","","1",""
"Warpath","","","","1",""
"White Widow","","","","1",""
"Wild Child","","","","1",""
"Yellowjacket","","","","1",""
